iter	Passed	Remaining
399	40980	10245
400	41043	10132
401	41117	10023
402	41189	9914
403	41271	9807
404	41450	9723
405	41600	9631
406	41718	9532
407	41820	9430
408	41909	9324
409	42021	9224
410	42110	9118
411	42193	9012
412	42279	8906
413	42369	8801
414	42462	8697
415	42548	8591
416	42642	8487
417	42720	8380
418	42801	8274
419	42874	8166
420	42974	8064
421	43059	7958
422	43124	7850
423	43195	7742
424	43312	7643
425	43504	7557
426	43652	7462
427	43775	7364
428	43875	7261
429	44007	7164
430	44125	7064
431	44230	6962
432	44390	6868
433	44598	6782
434	44774	6690
435	44912	6592
436	45074	6498
437	45184	6396
438	45304	6295
439	45434	6195
440	45521	6090
441	45623	5986
442	45739	5885
443	45851	5783
444	45939	5677
445	46117	5583
446	46228	5481
447	46342	5379
448	46438	5274
449	46539	5171
450	46662	5069
451	46811	4971
452	47195	4896
453	47406	4803
454	47679	4715
455	48007	4632
456	48150	4530
457	48266	4426
458	48370	4320
459	48478	4215
460	48574	4109
461	48672	4003
462	48781	3898
463	48892	3793
464	49012	3689
465	49195	3589
466	49352	3487
467	49440	3380
468	49538	3274
469	49632	3168
470	49738	3062
471	49849	2957
472	49971	2852
473	50249	2756
474	50703	2668
475	50834	2563
476	50942	2456
477	51148	2354
478	51270	2247
479	51398	2141
480	51508	2034
481	51612	1927
482	51702	1819
483	51810	1712
484	51929	1606
485	52097	1500
486	52227	1394
487	52343	1287
488	52449	1179
489	52555	1072
490	52727	966
491	52834	859
492	53009	752
493	53154	645
494	53279	538
495	53435	430
496	53537	323
497	53652	215
498	53766	107
499	53882	0
