iter	Logloss
117	0.3724711195
118	0.3720869489
119	0.3717539994
120	0.3714806069
121	0.371429601
122	0.3710890752
123	0.3708701825
124	0.3705365524
125	0.3704386088
126	0.3701941686
127	0.3701154922
128	0.3698812842
129	0.3696374227
130	0.3691869792
131	0.3691025661
132	0.3689556821
133	0.3685479772
134	0.3683537327
135	0.3680125735
136	0.3676027172
137	0.3675434843
138	0.3675434839
139	0.3674275691
140	0.36723707
141	0.3670186818
142	0.366863866
143	0.3667090975
144	0.3661368269
145	0.3660082322
146	0.3658596258
147	0.365621203
148	0.3650997045
149	0.3648717891
150	0.3647667244
151	0.36464729
152	0.3645132986
153	0.3643558122
154	0.3638978414
155	0.3638206406
156	0.3634208433
157	0.3631324067
158	0.3631212784
159	0.3630713311
160	0.3628843598
161	0.3627355357
162	0.3625861395
163	0.3624249181
164	0.3619578481
165	0.3619010542
166	0.3618278425
167	0.3615148995
168	0.3613611642
169	0.3610656369
170	0.3606830019
171	0.3604871489
172	0.3602650314
173	0.3600707803
174	0.3599487236
175	0.3598326885
176	0.3597165697
177	0.3595807039
178	0.3593130024
179	0.3591025169
180	0.3589354413
181	0.3588403249
182	0.3585295589
183	0.3583249618
184	0.358179949
185	0.3580742365
186	0.3578465872
187	0.3576116279
188	0.3574073237
189	0.3573755221
190	0.3569796031
191	0.3566871189
192	0.3564891114
193	0.3557405273
194	0.3556660764
195	0.3553377288
196	0.3551240226
197	0.3548614322
198	0.3547603566
199	0.3544542849
200	0.3541633513
201	0.3540788185
202	0.3539012729
203	0.3537723048
204	0.3536171573
205	0.3533779901
206	0.3532784142
207	0.3531372877
208	0.3527040946
209	0.3525128569
210	0.3524019854
211	0.3522639012
212	0.3520538391
213	0.3519450366
214	0.3517737456
215	0.3514442711
216	0.3512477283
217	0.3511463837
218	0.3508509622
219	0.3507065235
220	0.3504484375
221	0.3501765942
222	0.3500098689
223	0.3498028522
224	0.3495573819
225	0.3493301637
226	0.3492332584
227	0.3489227211
228	0.3487098129
229	0.3484055929
230	0.3482543455
231	0.3481352124
232	0.3480401399
233	0.347602087
234	0.347397413
235	0.3470564103
236	0.3468523094
237	0.3466434965
238	0.3465111723
239	0.3463990987
240	0.346288393
241	0.345974295
242	0.3455220286
243	0.3453596522
244	0.3451662158
245	0.3450739532
246	0.3448352859
247	0.344590408
248	0.3444067107
249	0.3442249596
250	0.34389476
251	0.3436454304
252	0.3434228677
253	0.3432159813
254	0.3431233524
255	0.3429772443
256	0.342850428
257	0.3423637631
258	0.3422009863
259	0.3419954635
260	0.3417828172
261	0.341542082
262	0.3413965536
263	0.3412097429
264	0.3410726366
265	0.3408307449
266	0.340655929
267	0.3403868857
268	0.3402604251
269	0.3401270819
270	0.3398014671
271	0.3395840176
272	0.3392284535
273	0.339042453
274	0.3389266541
275	0.3387768698
276	0.3384971233
277	0.3383336039
278	0.3382156529
279	0.3381451341
280	0.338058907
281	0.3375852156
282	0.3375208084
283	0.3374005572
284	0.3371958038
285	0.3371307808
286	0.3370750429
287	0.336984423
288	0.3368177149
289	0.3366467926
290	0.3365479662
291	0.3363532088
292	0.3362323342
293	0.3361946024
294	0.3360618345
295	0.3358204213
296	0.335541652
297	0.3353099096
298	0.3349872661
299	0.3346304754
300	0.3343780483
301	0.334276395
302	0.3342182381
303	0.3341700511
304	0.3341550928
305	0.333999586
306	0.3338187017
307	0.3337014524
308	0.3336880777
309	0.3332890689
310	0.3331052517
311	0.3329983746
312	0.3329730289
313	0.3328121632
314	0.3327998142
315	0.3324872742
316	0.3322446189
317	0.3321296531
318	0.3317959287
319	0.3314219457
320	0.3313726262
321	0.3311520371
322	0.3308197708
323	0.3305688261
324	0.3305536139
325	0.3304394143
326	0.3302806523
327	0.33024215
328	0.3301773428
329	0.3298317363
330	0.3295007081
331	0.3293048787
332	0.329122462
333	0.32885839
334	0.3286518957
335	0.3285590425
336	0.3284905739
337	0.3282804241
338	0.3280791414
339	0.3279788971
340	0.3277478303
341	0.327531948
342	0.3274615292
343	0.3273549826
344	0.3273543998
345	0.3272607222
346	0.3271114908
347	0.3266370032
348	0.3264134384
349	0.3262121072
350	0.3258610791
351	0.3257125772
352	0.3254253603
353	0.3251436466
354	0.3250040007
355	0.3248121479
356	0.3245200545
357	0.324388643
358	0.3242406342
359	0.3240286029
360	0.3238388296
361	0.3237128698
362	0.3236540332
363	0.3234680115
364	0.3229434533
365	0.3228049212
366	0.3226880688
367	0.3225968767
368	0.3224375281
369	0.3222883759
370	0.322144546
371	0.3219850759
372	0.3218858013
373	0.3216479092
374	0.3216101938
375	0.321466247
376	0.321383999
377	0.3211420864
378	0.3209313064
379	0.320714123
380	0.3206291363
381	0.3204119536
382	0.3202713328
383	0.3200229809
384	0.3198227605
385	0.3195533884
386	0.3194079169
387	0.3193676601
388	0.3191105423
389	0.3189945611
390	0.3188491927
391	0.3187949222
392	0.3186661161
393	0.3183444874
394	0.3180744468
395	0.3179726482
396	0.3176053123
397	0.317350024
398	0.3172428914
399	0.3172167314
400	0.316877251
401	0.3167563663
402	0.3165888984
403	0.3164850044
404	0.3164019716
405	0.3159922215
406	0.3158783089
407	0.31563219
408	0.3154555438
409	0.3150756622
410	0.3150254493
411	0.3149202039
412	0.3148269423
413	0.3145559029
414	0.3143939919
415	0.3142545988
416	0.3139493424
417	0.3137564688
418	0.3136252458
419	0.3134164408
420	0.3132366584
421	0.3130988039
422	0.3128494707
423	0.3126092808
424	0.3124736051
425	0.3122774213
426	0.3121059606
427	0.311967878
428	0.3117551243
429	0.3116306728
430	0.3114570491
431	0.3113238928
432	0.3112028386
433	0.3111425165
434	0.3110285944
435	0.3108779559
436	0.3107146063
437	0.3106309137
438	0.3104771246
439	0.3103748903
440	0.3101072669
441	0.3100572851
442	0.3098250554
443	0.3097213772
444	0.3096418497
445	0.3095560023
446	0.3093982405
447	0.3092367742
448	0.3090666365
449	0.3089826615
450	0.3087458306
451	0.3087053107
452	0.3080956455
453	0.3080206728
454	0.3079336949
455	0.30765769
456	0.3075352377
457	0.3074612534
458	0.3074377023
459	0.3073213339
460	0.3072146355
461	0.3068641886
462	0.3067023386
463	0.3066291044
464	0.3064697952
465	0.3063768602
466	0.3061588259
467	0.3059429331
468	0.3056987243
469	0.305361724
470	0.3052663093
471	0.3051367268
472	0.3045262631
473	0.3044881704
474	0.3043107091
475	0.3041698998
476	0.3040883807
477	0.3040078023
478	0.3038629032
479	0.3038501739
480	0.3036519337
481	0.3031111574
482	0.3029644229
483	0.3027881676
484	0.3026893819
485	0.3024548145
486	0.302325883
487	0.3019624912
488	0.3018755953
489	0.301777922
490	0.3016351376
491	0.3012283268
492	0.3011584402
493	0.3010967638
494	0.3010277329
495	0.3006016004
496	0.3004409847
497	0.3002022821
498	0.3000937302
499	0.300006282
