name,rating,rating_count,company_type,Head_Quarters,No_of_Job,reviews
Physicswallah,3.6,(2.8k),EdTech,Noida +146 other locations,697,2.8k
Blue Dart Express Ltd,3.9,(2.8k),Logistics,Mumbai +280 other locations,6,2.8k
ZS,3.1,(2.8k),Management Consulting,Pune +17 other locations,122,2.8k
Nestlé,3.7,(2.8k),FMCG,Gurugram +284 other locations,27,2.8k
UnitedHealth,4.0,(2.8k),Healthcare,Hyderabad +18 other locations,--,2.8k
Exide Industries,3.4,(2.8k),Electrical Equipment,Kolkata +199 other locations,97,2.8k
Star Health & Allied Insurance,3.5,(2.8k),Insurance,Chennai +337 other locations,37,2.8k
Foxconn,3.8,(2.8k),Electronics Manufacturing,Chennai +64 other locations,33,2.8k
Shell,3.9,(2.8k),Oil & Gas,Bengaluru +91 other locations,44,2.8k
KPMG Global Services,3.4,(2.7k),Management Consulting,Bengaluru +38 other locations,40,2.7k
Micro Labs,3.6,(2.7k),Pharma,Bengaluru +155 other locations,17,2.7k
Flex,3.9,(2.7k),Electronics Manufacturing,Chennai +46 other locations,59,2.7k
TVS Supply Chain Solutions,3.8,(2.7k),Logistics,Chennai +156 other locations,18,2.7k
ElasticRun,3.6,(2.7k),Logistics,Pune +390 other locations,4,2.7k
KFintech,3.3,(2.7k),Financial Services,Hyderabad +113 other locations,21,2.7k
Capita,3.5,(2.7k),BPO,Pune +32 other locations,34,2.7k
Care Health Insurance,3.5,(2.7k),Insurance,Gurugram +257 other locations,54,2.7k
G4S,4.0,(2.7k),Law Enforcement & Security,Gurugram +168 other locations,878,2.7k
Gallagher,3.6,(2.7k),Insurance,Bengaluru +30 other locations,127,2.7k
Ajanta Pharma,3.9,(2.7k),Pharma,Mumbai +118 other locations,18,2.7k
Whitehat jr,3.3,(2.7k),EdTech,Mumbai +48 other locations,--,2.7k
Sonalika Tractors,3.5,(2.7k),Automobile,Hoshiarpur +197 other locations,1,2.7k
Blue Star,4.0,(2.7k),Consumer Electronics & Appliances,Mumbai +148 other locations,63,2.7k
Movate,3.1,(2.7k),IT Services & Consulting,Chennai +38 other locations,116,2.7k
Voltas,4.0,(2.7k),Consumer Electronics & Appliances,Mumbai +203 other locations,25,2.7k
Tata Advanced Systems,3.7,(2.7k),Defence & Aerospace,Bengaluru +58 other locations,6,2.7k
Photon Interactive,4.0,(2.7k),IT Services & Consulting,Chennai +19 other locations,751,2.7k
DBS Bank,3.7,(2.6k),Banking,Hyderabad +181 other locations,351,2.6k
BlackBuck,3.7,(2.6k),Internet,Bengaluru +363 other locations,24,2.6k
NoBroker,3.0,(2.6k),Internet,Bengaluru +47 other locations,340,2.6k
Adani Power,3.7,(2.6k),Power,Mundra +131 other locations,--,2.6k
ACT Fibernet,3.8,(2.6k),Telecom,Hyderabad +57 other locations,137,2.6k
Foundever,3.3,(2.6k),BPO,Hyderabad +21 other locations,43,2.6k
Domino's Pizza,3.9,(2.6k),Hospitality,New Delhi +255 other locations,--,2.6k
IntouchCX,2.7,(2.6k),BPO,Hyderabad +22 other locations,167,2.6k
Laurus Labs,4.3,(2.6k),Pharma,Visakhapatnam +35 other locations,11,2.6k
Himalaya Wellness,3.9,(2.6k),Pharma,Bengaluru +245 other locations,167,2.6k
Fortis Healthcare,4.0,(2.6k),Healthcare,New Delhi +69 other locations,1.1k,2.6k
BT Group,3.8,(2.6k),Telecom,Gurugram +26 other locations,17,2.6k
V-Mart,4.0,(2.6k),Retail,Gurugram +287 other locations,17,2.6k
Sahrudaya Healthcare (Medicover Hospitals),4.3,(2.6k),Healthcare,Hyderabad +46 other locations,24,2.6k
JCB,3.9,(2.6k),Industrial Machinery,Pune +111 other locations,--,2.6k
Alldigi Tech,3.8,(2.6k),BPO,Chennai +36 other locations,15,2.6k
Northern Trust Operating Services,3.6,(2.5k),Financial Services,Bengaluru +28 other locations,107,2.5k
Sterlite Technologies,3.8,(2.5k),Hardware & Networking,Chhatrapati Sambhajinagar +100 other locations,138,2.5k
Tractors and Farm Equipment,3.9,(2.5k),Industrial Machinery,Chennai +192 other locations,24,2.5k
Bajaj Electricals,3.9,(2.5k),Consumer Electronics & Appliances,Mumbai +235 other locations,19,2.5k
Adani Group,3.8,(2.5k),Power,Ahmedabad +202 other locations,674,2.5k
Sammaan Capital Limited,3.7,(2.5k),NBFC,Gurugram +199 other locations,20,2.5k
CorroHealth Infotech,3.6,(2.5k),Analytics & KPO,Hyderabad +38 other locations,47,2.5k
Parle Agro,3.9,(2.5k),Beverage,Mumbai +259 other locations,1,2.5k
ICICI Securities,3.9,(2.5k),Financial Services,Mumbai +152 other locations,40,2.5k
Emcure Pharmaceuticals,3.6,(2.5k),Pharma,Pune +121 other locations,56,2.5k
Planet Spark,3.8,(2.5k),EdTech,Gurugram +59 other locations,68,2.5k
Biocon Limited,4.0,(2.5k),Biotechnology,Bengaluru +66 other locations,25,2.5k
GAO Tek,4.4,(2.5k),Electrical Equipment,New York +45 other locations,--,2.5k
TaskUs,3.0,(2.5k),BPO,Indore +38 other locations,263,2.5k
Hero FinCorp,3.9,(2.5k),NBFC,New Delhi +395 other locations,64,2.5k
Mahindra Holidays & Resorts,3.5,(2.5k),Hospitality,Mumbai +114 other locations,75,2.5k
Intellect Design Arena,3.5,(2.5k),Software Product,Chennai +40 other locations,29,2.5k
McDonald's,3.8,(2.5k),Hospitality,New Delhi +152 other locations,--,2.5k
Datamatics Global Services,3.4,(2.5k),IT Services & Consulting,Mumbai +38 other locations,67,2.5k
Mahindra Rural Housing Finance,4.0,(2.5k),NBFC,Mumbai +475 other locations,9,2.5k
Cadila Pharmaceuticals,3.2,(2.5k),Pharma,Ahmedabad +137 other locations,139,2.5k
Paras Hospital,4.1,(2.4k),Healthcare,Patna +60 other locations,82,2.4k
Patanjali Ayurved,3.9,(2.4k),FMCG,Haridwar +300 other locations,--,2.4k
Syngene International,3.7,(2.4k),Clinical Research,Bengaluru +22 other locations,5,2.4k
Aditya Birla Group,4.1,(2.4k),Metals & Mining,Mumbai +274 other locations,12,2.4k
Bureau Veritas,3.8,(2.4k),Other,Mumbai +150 other locations,44,2.4k
Statestreet HCL Services,3.4,(2.4k),BPO,Chennai +18 other locations,--,2.4k
RMSI,3.5,(2.4k),IT Services & Consulting,Hyderabad +25 other locations,8,2.4k
Info Edge,3.8,(2.4k),Internet,Noida +70 other locations,360,2.4k
Cholamandalam MS General Insurance,3.7,(2.4k),Insurance,Chennai +395 other locations,3,2.4k
Newgen Software Technologies,4.1,(2.4k),IT Services & Consulting,Noida +32 other locations,34,2.4k
3i Infotech,3.5,(2.4k),IT Services & Consulting,Mumbai +131 other locations,74,2.4k
Taj Hotels Resorts and Palaces,4.2,(2.4k),Hospitality,Mumbai +114 other locations,--,2.4k
Delhi Public School,3.7,(2.4k),Education & Training,New Delhi +277 other locations,70,2.4k
Capgemini Engineering,3.3,(2.4k),IT Services & Consulting,Bengaluru +28 other locations,--,2.4k
Axis Direct,3.6,(2.4k),Financial Services,Mumbai +271 other locations,49,2.4k
Aavas Financiers,3.9,(2.4k),NBFC,Jaipur +299 other locations,29,2.4k
Cybage,3.7,(2.4k),IT Services & Consulting,Pune +15 other locations,22,2.4k
Straive,3.3,(2.4k),IT Services & Consulting,Chennai +33 other locations,88,2.4k
Lodha,4.2,(2.4k),Real Estate,Mumbai +29 other locations,164,2.4k
KocharTech,3.6,(2.3k),IT Services & Consulting,Kolkata +25 other locations,35,2.3k
Sopra Steria,3.9,(2.3k),IT Services & Consulting,Noida +19 other locations,41,2.3k
Apollo Pharmacy,3.7,(2.3k),Pharma,Hyderabad +291 other locations,1k,2.3k
Kia India,3.9,(2.3k),Automobile,Anantapur +191 other locations,85,2.3k
Xoriant,4.0,(2.3k),IT Services & Consulting,Pune +23 other locations,41,2.3k
TCE,3.9,(2.3k),Engineering & Construction,Mumbai +133 other locations,57,2.3k
GVK Emergency Management and Research Institute,3.6,(2.3k),Non-Profit,Lucknow +216 other locations,65,2.3k
Akums Drugs & Pharmaceuticals Limited,4.2,(2.3k),Pharma,Haridwar +41 other locations,20,2.3k
Sobha,3.8,(2.3k),Real Estate,Bengaluru +39 other locations,52,2.3k
SBI Securities,3.6,(2.3k),Financial Services,Mumbai +323 other locations,108,2.3k
Team Computers,3.6,(2.3k),IT Services & Consulting,New Delhi +108 other locations,192,2.3k
Isgec Heavy Engineering,3.8,(2.3k),Engineering & Construction,Noida +225 other locations,59,2.3k
Eureka Forbes,3.6,(2.3k),Consumer Electronics & Appliances,Mumbai +186 other locations,4,2.3k
Star Union Dai-ichi Life Insurance,3.8,(2.3k),Insurance,Mumbai +333 other locations,34,2.3k
Endurance Technologies Limited,3.9,(2.3k),Auto Components,Chhatrapati Sambhajinagar +52 other locations,33,2.3k
Bharat Petroleum,4.2,(2.3k),Oil & Gas,Mumbai +264 other locations,--,2.3k
Lifestyle,4.2,(2.3k),Retail,Bengaluru +130 other locations,15,2.3k
BNP Paribas,3.7,(2.3k),Banking,Mumbai +27 other locations,30,2.3k
Panasonic Life Solutions India,3.9,(2.3k),Consumer Electronics & Appliances,Mumbai +170 other locations,23,2.3k
Daikin Airconditioning India Pvt. Ltd.,4.1,(2.3k),Consumer Electronics & Appliances,Neemrana +109 other locations,6,2.3k
Radisson Hotels,4.0,(2.3k),Hospitality,New Delhi +132 other locations,417,2.3k
Myntra,3.8,(2.3k),Internet,Bengaluru +103 other locations,6,2.3k
Unacademy,2.9,(2.3k),EdTech,Bengaluru +74 other locations,13,2.3k
AWL Agri Business,4.1,(2.3k),FMCG,Ahmedabad +205 other locations,10,2.3k
Bharti AXA Life Insurance,3.6,(2.3k),Insurance,Mumbai +247 other locations,1.3k,2.3k
SBI General Insurance,3.5,(2.3k),Insurance,Mumbai +298 other locations,33,2.3k
Cisco,4.1,(2.2k),Hardware & Networking,Bengaluru +48 other locations,231,2.2k
Renault Nissan Technology & Business Centre India,3.6,(2.2k),Automobile,Chennai +21 other locations,25,2.2k
Sify Technologies,3.6,(2.2k),IT Services & Consulting,Chennai +137 other locations,39,2.2k
Lava International,3.9,(2.2k),Consumer Electronics & Appliances,Noida +223 other locations,9,2.2k
ValueLabs,3.4,(2.2k),IT Services & Consulting,Hyderabad +21 other locations,64,2.2k
Coromandel International,4.1,(2.2k),Agro Chemicals,Visakhapatnam +186 other locations,25,2.2k
Allstate,3.7,(2.2k),Insurance,Pune +17 other locations,22,2.2k
Whirlpool,4.0,(2.2k),Consumer Electronics & Appliances,Pune +172 other locations,15,2.2k
Meesho,3.7,(2.2k),Internet,Bengaluru +135 other locations,47,2.2k
Ambuja Cements,3.8,(2.2k),Building Material,Mumbai +260 other locations,6,2.2k
GlaxoSmithKline Pharmaceuticals,4.1,(2.2k),Pharma,Bengaluru +216 other locations,13,2.2k
Indian Railways,4.2,(2.2k),Railways,Kolkata +251 other locations,--,2.2k
Shahi Exports,3.9,(2.2k),Fashion & Textile,Bengaluru +72 other locations,66,2.2k
Henry Harvin Education,3.9,(2.2k),EdTech,Noida +34 other locations,23,2.2k
Generali Central Life Insurance,3.4,(2.2k),Insurance,Mumbai +208 other locations,33,2.2k
Bank of Baroda,3.5,(2.2k),Banking,Mumbai +304 other locations,--,2.2k
Mercedes-Benz Research and Development India,3.5,(2.2k),IT Services & Consulting,Bengaluru +53 other locations,--,2.2k
Spark Minda,3.8,(2.2k),Auto Components,Pune +76 other locations,11,2.2k
Poonawalla Fincorp,3.5,(2.2k),NBFC,Pune +267 other locations,6,2.2k
Manipal Hospitals,4.0,(2.2k),Healthcare,Bengaluru +66 other locations,50,2.2k
JK Tyre,3.8,(2.2k),Auto Components,Chennai +148 other locations,7,2.2k
Nokia Networks,4.1,(2.2k),Hardware & Networking,Chennai +86 other locations,6,2.2k
NTT DATA Business Solutions,4.1,(2.2k),IT Services & Consulting,Bengaluru +32 other locations,23,2.2k
Jio Platforms,3.3,(2.2k),IT Services & Consulting,Mumbai +105 other locations,--,2.2k
FirstCry,3.5,(2.2k),Retail,Pune +215 other locations,6,2.2k
Life Insurance Corporation of India,4.4,(2.2k),Insurance,Mumbai +478 other locations,3,2.2k
Saint-Gobain,3.8,(2.2k),Building Material,Mumbai +104 other locations,139,2.2k
Brakes India,3.9,(2.2k),Auto Components,Chennai +101 other locations,42,2.2k
Nuvoco Vistas,4.1,(2.2k),Building Material,Kolkata +204 other locations,28,2.2k
Cargill,3.9,(2.2k),Food Processing,Bengaluru +124 other locations,113,2.2k
upGrad,3.3,(2.2k),EdTech,Bengaluru +52 other locations,18,2.2k
BHEL,4.2,(2.2k),Electrical Equipment,Bengaluru +139 other locations,53,2.2k
CAMS,3.6,(2.2k),Financial Services,Chennai +109 other locations,18,2.2k
Microsoft Corporation,3.8,(2.1k),Software Product,Bengaluru +47 other locations,--,2.1k
Power Mech Projects,3.8,(2.1k),Engineering & Construction,Hyderabad +152 other locations,3,2.1k
Kotak Securities,3.4,(2.1k),Financial Services,Mumbai +143 other locations,30,2.1k
Infinite Computer Solutions,3.2,(2.1k),IT Services & Consulting,Bengaluru +36 other locations,198,2.1k
Force Motors,3.7,(2.1k),Automobile,Pune +107 other locations,32,2.1k
CitiusTech,3.1,(2.1k),IT Services & Consulting,Mumbai +17 other locations,7,2.1k
Pfizer,3.9,(2.1k),Pharma,Visakhapatnam +133 other locations,40,2.1k
"Maruti Suzuki India Limited, Hansalpur",4.2,(2.1k),Automobile,Ahmedabad +110 other locations,649,2.1k
Huawei Technologies,4.1,(2.1k),Telecom,Bengaluru +104 other locations,34,2.1k
IndusInd General Insurance,3.6,(2.1k),Insurance,Mumbai +197 other locations,11,2.1k
EPAM Systems,3.7,(2.1k),IT Services & Consulting,Hyderabad +36 other locations,86,2.1k
Simplex Infrastructures,3.4,(2.1k),Engineering & Construction,Kolkata +138 other locations,--,2.1k
Biological E,4.2,(2.1k),Pharma,Hyderabad +75 other locations,40,2.1k
ITC Hotels,4.1,(2.1k),Hospitality,Bengaluru +94 other locations,--,2.1k
Reliance Trends,4.1,(2.1k),Retail,Bengaluru +396 other locations,--,2.1k
SGS,3.8,(2.1k),Engineering & Construction,Mumbai +148 other locations,122,2.1k
Raymond Lifestyle Limited,4.2,(2.1k),Fashion & Textile,Mumbai +150 other locations,19,2.1k
Morgan Stanley,3.6,(2.1k),Financial Services,Mumbai +19 other locations,38,2.1k
K12 Techno Services,3.7,(2.1k),EdTech,Bengaluru +43 other locations,355,2.1k
Delphi TVS,3.8,(2.1k),Auto Components,Chennai +61 other locations,3,2.1k
Ola Cabs,3.2,(2.1k),Internet,Bengaluru +112 other locations,26,2.1k
Renault-Nissan,4.1,(2.1k),Automobile,Chennai +85 other locations,--,2.1k
Aditya Birla Health Insurance Co,3.7,(2.1k),Insurance,Mumbai +256 other locations,6,2.1k
Extramarks Education,3.2,(2k),EdTech,Noida +112 other locations,4,2k
YASH Technologies,3.6,(2k),IT Services & Consulting,Hyderabad +32 other locations,477,2k
Narayana Health,4.0,(2k),Healthcare,Bengaluru +66 other locations,81,2k
Provana,4.1,(2k),BPO,Noida +12 other locations,29,2k
Shadowfax Technologies,3.5,(2k),Logistics,Bengaluru +251 other locations,25,2k
Trent,3.8,(2k),Retail,Mumbai +150 other locations,27,2k
IDBI Bank,3.3,(2k),Banking,Mumbai +341 other locations,--,2k
Novartis,4.2,(2k),Pharma,Hyderabad +75 other locations,77,2k
Senco Gold,4.4,(2k),Jewellery,Kolkata +83 other locations,3,2k
Haier Appliances India,3.9,(2k),Consumer Electronics & Appliances,Pune +165 other locations,38,2k
AECOM,4.2,(2k),Engineering & Construction,Gurugram +125 other locations,184,2k
HSBC Electronic Data Processing,4.0,(2k),IT Services & Consulting,Bengaluru +19 other locations,--,2k
SAP,4.1,(2k),Software Product,Bengaluru +53 other locations,--,2k
R.R. Donnelley,3.6,(2k),Marketing & Advertising,Chennai +27 other locations,8,2k
Motherson Automotive Technologies and Engineering,3.7,(2k),Auto Components,Chennai +67 other locations,--,2k
Honeywell Automation,3.7,(2k),Industrial Automation,Pune +78 other locations,--,2k
Schindler,3.9,(2k),Industrial Machinery,Pune +90 other locations,74,2k
L&T Energy Hydrocarbon,3.8,(2k),Engineering & Construction,Vadodara +90 other locations,--,2k
Ninjacart,3.8,(2k),Internet,Bengaluru +114 other locations,29,2k
Paisabazaar.com,3.4,(2k),Internet,Gurugram +35 other locations,47,2k
NCR Voyix,3.4,(2k),IT Services & Consulting,Hyderabad +89 other locations,21,2k
CMS Infosystems,3.5,(2k),Software Product,Mumbai +223 other locations,7,2k
Globiva,3.0,(2k),BPO,Gurugram +31 other locations,216,2k
State Street Syntel,3.7,(2k),Financial Services,Pune +21 other locations,--,2k
V-Guard,4.3,(2k),Consumer Electronics & Appliances,Kochi +171 other locations,40,2k
Uflex,3.8,(2k),Packaging,Noida +48 other locations,53,2k
Spinny,3.6,(2k),Internet,Gurugram +62 other locations,70,2k
Aye Finance,4.1,(2k),NBFC,Gurugram +382 other locations,95,2k
CNH (Case New Holland),3.7,(2k),Industrial Machinery,Gurugram +142 other locations,17,2k
Crisil,3.5,(2k),Analytics & KPO,Mumbai +81 other locations,661,2k
Dr Lal PathLabs,4.2,(2k),Healthcare,New Delhi +201 other locations,107,2k
Microland,3.5,(2k),IT Services & Consulting,Bengaluru +46 other locations,312,2k
Adecco Group,3.8,(2k),Recruitment,Bengaluru +187 other locations,4,2k
Aadhar Housing Finance,4.0,(2k),NBFC,Mumbai +333 other locations,13,2k
TELUS Digital,3.5,(2k),IT Services & Consulting,Noida +28 other locations,25,2k
Philips,3.8,(2k),Medical Equipment,Bengaluru +97 other locations,100,2k
Gabriel India Limited,4.1,(1.9k),Auto Components,Pune +52 other locations,3,1.9k
Parle Products,3.9,(1.9k),FMCG,Mumbai +251 other locations,21,1.9k
G R Infraprojects,4.1,(1.9k),Engineering & Construction,Gurugram +161 other locations,53,1.9k
HTC Global Services,3.3,(1.9k),IT Services & Consulting,Chennai +32 other locations,4,1.9k
Tata Power,3.9,(1.9k),Power,Mumbai +155 other locations,27,1.9k
Angel One,3.5,(1.9k),FinTech,Mumbai +133 other locations,43,1.9k
DHL Supply Chain,4.2,(1.9k),Logistics,Mumbai +101 other locations,84,1.9k
Godrej Properties,3.6,(1.9k),Real Estate,Mumbai +35 other locations,--,1.9k
CSB Bank,3.2,(1.9k),Banking,Mumbai +238 other locations,1.5k,1.9k
ICICI Home Finance,3.7,(1.9k),Financial Services,Mumbai +221 other locations,17,1.9k
Trident Group,3.3,(1.9k),Hospitality,Barnala +58 other locations,23,1.9k
Verizon,3.5,(1.9k),Telecom,Hyderabad +12 other locations,2,1.9k
NTPC,4.2,(1.9k),Power,New Delhi +127 other locations,--,1.9k
Thomson Reuters,3.7,(1.9k),Software Product,Bengaluru +27 other locations,102,1.9k
Google,4.4,(1.9k),Software Product,Bengaluru +86 other locations,416,1.9k
Iris Software,3.7,(1.9k),IT Services & Consulting,Noida +23 other locations,447,1.9k
PI Industries,3.8,(1.9k),Agro Chemicals,Vadodara +109 other locations,9,1.9k
NeoSOFT,3.3,(1.9k),IT Services & Consulting,Mumbai +26 other locations,50,1.9k
Infinx,3.7,(1.9k),Software Product,Hyderabad +37 other locations,59,1.9k
Lucas-TVS,3.9,(1.9k),Auto Components,Chennai +79 other locations,16,1.9k
Safexpress,3.9,(1.9k),Logistics,New Delhi +158 other locations,1,1.9k
Torrent Power,3.7,(1.9k),Power,Ahmedabad +62 other locations,64,1.9k
Polycab Wires,4.0,(1.9k),Electrical Equipment,Vadodara +168 other locations,154,1.9k
Tekwissen,4.9,(1.9k),IT Services & Consulting,Visakhapatnam +5 other locations,48,1.9k
Hindustan Aeronautics,4.2,(1.9k),Defence & Aerospace,Bengaluru +64 other locations,1,1.9k
Jindal Saw,4.0,(1.9k),Iron & Steel,Mundra +78 other locations,48,1.9k
Medi Assist India,3.5,(1.9k),Insurance,Bengaluru +67 other locations,29,1.9k
Tata Tele Business Services,3.5,(1.9k),Telecom,Mumbai +136 other locations,48,1.9k
TVS Sundram Fasteners,3.6,(1.9k),Auto Components,Chennai +64 other locations,15,1.9k
Capri Global Capital,3.6,(1.9k),NBFC,New Delhi +344 other locations,5,1.9k
Fusion CX,3.2,(1.9k),BPO,Kolkata +59 other locations,211,1.9k
Aragen Life Sciences,3.9,(1.9k),Clinical Research,Hyderabad +29 other locations,100,1.9k
AXA Global Business Services,3.7,(1.9k),IT Services & Consulting,Pune +12 other locations,10,1.9k
Infra.Market,3.9,(1.9k),Building Material,Mumbai +134 other locations,--,1.9k
KENT RO Systems,3.7,(1.9k),Consumer Electronics & Appliances,Noida +153 other locations,16,1.9k
Orchids International School,3.9,(1.9k),Education & Training,Bengaluru +35 other locations,21,1.9k
First American (India),3.5,(1.9k),Insurance,Bengaluru +22 other locations,60,1.9k
Digit Insurance,3.6,(1.8k),Insurance,Bengaluru +93 other locations,49,1.8k
AkzoNobel,4.1,(1.8k),Chemicals,Pune +160 other locations,26,1.8k
Honda Cars,4.3,(1.8k),Automobile,Bhiwadi +113 other locations,--,1.8k
Haldiram Foods International Limited,3.8,(1.8k),FMCG,Nagpur +171 other locations,--,1.8k
Rungta Mines,4.0,(1.8k),Metals & Mining,Chaibasa +59 other locations,--,1.8k
DIVI'S Laboratories,3.6,(1.8k),Pharma,Visakhapatnam +38 other locations,--,1.8k
Sterling & Wilson,4.1,(1.8k),Engineering & Construction,Mumbai +132 other locations,21,1.8k
Hindustan Petroleum,4.2,(1.8k),Oil & Gas,Mumbai +260 other locations,--,1.8k
Innovsource Services,3.9,(1.8k),Recruitment,Mumbai +253 other locations,--,1.8k
Adani Green Energy,3.9,(1.8k),Power,Ahmedabad +117 other locations,1,1.8k
MetLife,4.0,(1.8k),Insurance,Noida +44 other locations,82,1.8k
Cafe Coffee Day,3.7,(1.8k),Hospitality,Bengaluru +104 other locations,8,1.8k
Air India,3.4,(1.8k),Aviation,New Delhi +67 other locations,43,1.8k
Pine Labs,3.2,(1.8k),FinTech,Noida +122 other locations,6,1.8k
SS&C TECHNOLOGIES,3.2,(1.8k),IT Services & Consulting,Mumbai +30 other locations,268,1.8k
Reckitt Benckiser,3.9,(1.8k),FMCG,Gurugram +138 other locations,61,1.8k
USV,4.0,(1.8k),Pharma,Mumbai +108 other locations,74,1.8k
LivSpace,3.3,(1.8k),Architecture & Interior Design,Bengaluru +53 other locations,108,1.8k
USHA International,4.0,(1.8k),Consumer Electronics & Appliances,Gurugram +150 other locations,17,1.8k
Stellar Migration,1.3,(1.8k),Other,Dubai +7 other locations,--,1.8k
XBP Global,3.2,(1.8k),Internet,Chennai +23 other locations,60,1.8k
HDFC Securities,3.4,(1.8k),Financial Services,Mumbai +188 other locations,55,1.8k
Annapurna Finance,3.8,(1.8k),NBFC,Bhubaneswar +408 other locations,1,1.8k
Tata Communications Transformation Services,3.8,(1.8k),Telecom,Pune +95 other locations,--,1.8k
Kalyan Jewellers,4.4,(1.8k),Jewellery,Thrissur +159 other locations,23,1.8k
Security and Intelligence Services (India),4.0,(1.8k),Law Enforcement & Security,New Delhi +196 other locations,17,1.8k
BT Business,3.9,(1.8k),Telecom,Gurugram +13 other locations,--,1.8k
Granules India Limited,3.8,(1.8k),Pharma,Hyderabad +23 other locations,4,1.8k
BVG India,4.2,(1.7k),Facility Management Services,Pune +139 other locations,121,1.7k
Bata,3.5,(1.7k),Fashion & Textile,Gurugram +151 other locations,6,1.7k
Hitachi Astemo,4.0,(1.7k),Auto Components,Neemrana +54 other locations,--,1.7k
Vedantu,3.2,(1.7k),EdTech,Bengaluru +73 other locations,23,1.7k
Orange Business,4.0,(1.7k),IT Services & Consulting,Gurugram +52 other locations,5,1.7k
Cushman & Wakefield,4.1,(1.7k),Real Estate,Gurugram +44 other locations,95,1.7k
Mother Dairy Fruit & Vegetable,4.0,(1.7k),Hospitality,New Delhi +130 other locations,4,1.7k
TTEC India,3.7,(1.7k),BPO,Ahmedabad +35 other locations,5,1.7k
IIFL SAMASTA,3.7,(1.7k),NBFC,Bengaluru +418 other locations,2,1.7k
Dhani Loans and Services,3.9,(1.7k),NBFC,Gurugram +185 other locations,19,1.7k
Future Retail,4.4,(1.7k),Retail,Mumbai +197 other locations,--,1.7k
NielsenIQ,3.4,(1.7k),Analytics & KPO,Chennai +55 other locations,4,1.7k
HighRadius,2.5,(1.7k),Software Product,Hyderabad +15 other locations,77,1.7k
Metro Cash & Carry,4.0,(1.7k),Retail,Bengaluru +89 other locations,4,1.7k
FactSet,3.7,(1.7k),Analytics & KPO,Hyderabad +16 other locations,29,1.7k
Medanta the Medicity,4.0,(1.7k),Healthcare,Gurugram +50 other locations,85,1.7k
Caterpillar Inc,4.1,(1.7k),Industrial Machinery,Chennai +43 other locations,254,1.7k
Sysnet Global Technologies,3.6,(1.7k),IT Services & Consulting,New Delhi +154 other locations,4,1.7k
Indian Navy,4.6,(1.7k),Defence & Aerospace,Mumbai +76 other locations,--,1.7k
Cavinkare,3.9,(1.7k),FMCG,Chennai +172 other locations,20,1.7k
Frankfinn Institute of Air Hostess Training,3.9,(1.7k),Education & Training,Gurugram +61 other locations,49,1.7k
Patanjali Foods,3.7,(1.7k),FMCG,Haridwar +242 other locations,20,1.7k
NEC,4.0,(1.7k),IT Services & Consulting,Noida +54 other locations,5,1.7k
Health Care Global Enterprises,4.4,(1.7k),Healthcare,Bengaluru +53 other locations,144,1.7k
Clover Infotech,3.3,(1.7k),IT Services & Consulting,Mumbai +23 other locations,169,1.7k
Tata 1mg,3.6,(1.7k),Internet,Gurugram +65 other locations,409,1.7k
KONE,4.1,(1.7k),Industrial Machinery,Chennai +75 other locations,32,1.7k
Compass Group Support Services,4.0,(1.7k),Hospitality,Bengaluru +78 other locations,24,1.7k
L.G.Balakrishnan & Bros,3.5,(1.7k),Auto Components,Coimbatore +63 other locations,1,1.7k
Rane (Madras),3.8,(1.7k),Auto Components,Chennai +58 other locations,46,1.7k
Yamaha Motor,4.1,(1.7k),Automobile,Chennai +157 other locations,--,1.7k
ReNew,4.2,(1.7k),Power,Gurugram +106 other locations,56,1.7k
DHL Express,4.1,(1.7k),Logistics,Mumbai +90 other locations,--,1.7k
MagicBricks,3.9,(1.7k),Internet,Noida +35 other locations,13,1.7k
BA Continuum,3.9,(1.7k),IT Services & Consulting,Hyderabad +17 other locations,--,1.7k
CG Power and Industrial Solutions,3.8,(1.7k),Electrical Equipment,Bhopal +92 other locations,--,1.7k
BA Continuum,3.9,(1.7k),IT Services & Consulting,Hyderabad +17 other locations,--,1.7k
Vardhman Fabrics,4.0,(1.7k),Fashion & Textile,Baddi +67 other locations,9,1.7k
JSW Bhushan Power & Steel,4.0,(1.7k),Iron & Steel,Jharsuguda +64 other locations,--,1.7k
Suryoday Small Finance Bank,3.9,(1.7k),Banking,Mumbai +235 other locations,29,1.7k
Matrimony.com,3.9,(1.7k),Internet,Chennai +63 other locations,27,1.7k
Procter & Gamble,4.0,(1.6k),FMCG,Mumbai +255 other locations,--,1.6k
Toyota Kirloskar Motor,4.3,(1.6k),Automobile,Bengaluru +92 other locations,12,1.6k
Belrise Industries,3.7,(1.6k),Auto Components,Pune +56 other locations,9,1.6k
Johnson & Johnson,3.9,(1.6k),Healthcare,Mumbai +170 other locations,64,1.6k
CMA CGM,4.0,(1.6k),Ports & Shipping,Chennai +37 other locations,23,1.6k
Coronis Ajuba Solutions,3.9,(1.6k),BPO,Chennai +31 other locations,18,1.6k
Goldman Sachs,3.3,(1.6k),Financial Services,Bengaluru +22 other locations,262,1.6k
Arvind Group,4.0,(1.6k),Fashion & Textile,Ahmedabad +91 other locations,1,1.6k
Krishna Maruti,3.8,(1.6k),Auto Components,Gurugram +54 other locations,8,1.6k
Wipro Enterprises Ltd,3.8,(1.6k),FMCG,Bengaluru +121 other locations,110,1.6k
