name,rating,rating_count,company_type,Head_Quarters,No_of_Job,reviews
Jana Small Finance Bank,3.7,(7.7k),Banking,Bengaluru +427 other locations,151,7.7k
Zydus Lifesciences,4.0,(7.6k),Pharma,Ahmedabad +184 other locations,36,7.6k
HGS,3.7,(7.6k),Emerging Technologies,Bengaluru +122 other locations,26,7.6k
Ekart Logistics,3.9,(7.6k),Logistics,Bengaluru +741 other locations,--,7.6k
Amazon Development Centre India,3.8,(7.5k),Internet,Hyderabad +146 other locations,10,7.5k
KPMG India,3.4,(7.5k),Management Consulting,Bengaluru +112 other locations,94,7.5k
Lupin,4.1,(7.4k),Pharma,Pune +205 other locations,54,7.4k
Axis Max Life Insurance,4.0,(7.3k),Insurance,New Delhi +511 other locations,1.8k,7.3k
L&T Construction,4.0,(7.3k),Engineering & Construction,Chennai +436 other locations,--,7.3k
ITC,3.9,(7.3k),FMCG,Bengaluru +380 other locations,74,7.3k
Hindustan Unilever,4.2,(7.3k),FMCG,Mumbai +549 other locations,29,7.3k
Megha Engineering & Infrastructures,3.9,(7.1k),Engineering & Construction,Hyderabad +411 other locations,29,7.1k
Tata Projects,4.2,(6.9k),Engineering & Construction,Mumbai +288 other locations,40,6.9k
Cholamandalam Investment & Finance,3.8,(6.8k),Financial Services,Chennai +872 other locations,61,6.8k
Bajaj Life Insurance,3.8,(6.8k),Insurance,Pune +621 other locations,105,6.8k
L&T Technology Services,3.1,(6.7k),IT Services & Consulting,Bengaluru +95 other locations,--,6.7k
FIS,3.8,(6.6k),FinTech,Pune +60 other locations,169,6.6k
Oracle,3.3,(6.6k),Software Product,Bengaluru +56 other locations,205,6.6k
Omega Healthcare,3.8,(6.5k),BPO,Chennai +70 other locations,146,6.5k
JLL,4.1,(6.5k),Real Estate,Gurugram +87 other locations,411,6.5k
Muthoot Finance,3.7,(6.5k),NBFC,Bengaluru +798 other locations,154,6.5k
IIFL Finance,4.0,(6.4k),NBFC,Mumbai +817 other locations,56,6.4k
eClerx,3.1,(6.4k),IT Services & Consulting,Pune +33 other locations,427,6.4k
Indian Army,4.7,(6.3k),Defence & Aerospace,New Delhi +364 other locations,--,6.3k
DMart,3.9,(6.2k),Retail,Mumbai +255 other locations,244,6.2k
PolicyBazaar,3.7,(6.2k),Internet,Gurugram +161 other locations,1.4k,6.2k
Piramal Finance,4.2,(6.2k),NBFC,Mumbai +436 other locations,646,6.2k
Virtusa Consulting Services,3.7,(6.2k),IT Services & Consulting,Hyderabad +56 other locations,166,6.2k
Indiamart Intermesh,3.5,(6.1k),Internet,Noida +169 other locations,239,6.1k
HSBC Group,3.8,(6.1k),Financial Services,Bengaluru +63 other locations,125,6.1k
HCL Group,3.5,(6.1k),IT Services & Consulting,Chennai +97 other locations,--,6.1k
SMFG India Credit,3.8,(6.1k),NBFC,Mumbai +610 other locations,136,6.1k
Access Healthcare,3.7,(6k),BPO,Chennai +62 other locations,868,6k
BigBasket,3.9,(5.9k),Internet,Bengaluru +145 other locations,48,5.9k
Siemens,4.0,(5.9k),Industrial Automation,Bengaluru +156 other locations,459,5.9k
ICICI Lombard General Insurance Company,3.5,(5.9k),Insurance,Mumbai +321 other locations,236,5.9k
Manappuram Finance,3.9,(5.9k),NBFC,Bengaluru +663 other locations,25,5.9k
Firstsource Solutions,3.5,(5.9k),BPO,Bengaluru +73 other locations,114,5.9k
GlobalLogic,3.5,(5.9k),IT Services & Consulting,Hyderabad +62 other locations,80,5.9k
Aurobindo Pharma,4.0,(5.8k),Pharma,Hyderabad +117 other locations,26,5.8k
Shapoorji Pallonji Group,4.1,(5.8k),Engineering & Construction,Mumbai +190 other locations,42,5.8k
Tata Capital,4.0,(5.8k),NBFC,Mumbai +455 other locations,4.3k,5.8k
UST,3.7,(5.8k),IT Services & Consulting,Bengaluru +52 other locations,697,5.8k
Standard Chartered,3.6,(5.8k),Banking,Chennai +69 other locations,1,5.8k
Swiggy,3.7,(5.7k),Internet,Bengaluru +239 other locations,192,5.7k
Mahindra Finance,3.9,(5.7k),NBFC,Mumbai +741 other locations,113,5.7k
Apollo Hospitals,4.0,(5.7k),Healthcare,Chennai +226 other locations,299,5.7k
Udaan,3.9,(5.7k),Internet,Bengaluru +366 other locations,--,5.7k
Bosch Global Software Technologies,3.7,(5.7k),IT Services & Consulting,Bengaluru +47 other locations,51,5.7k
Citicorp,3.6,(5.6k),Financial Services,Pune +68 other locations,--,5.6k
Ashok Leyland,4.0,(5.6k),Automobile,Chennai +265 other locations,3,5.6k
Hero MotoCorp,4.1,(5.5k),Automobile,Gurugram +374 other locations,3,5.5k
CGI Inc,4.0,(5.5k),IT Services & Consulting,Bengaluru +43 other locations,614,5.5k
SBI Cards & Payment Services,3.6,(5.4k),Financial Services,Gurugram +449 other locations,102,5.4k
Cyient,3.6,(5.4k),IT Services & Consulting,Hyderabad +49 other locations,128,5.4k
NTT DATA,3.8,(5.4k),IT Services & Consulting,Bengaluru +81 other locations,16,5.4k
Kalpataru Projects International,4.2,(5.4k),Engineering & Construction,Mumbai +328 other locations,--,5.4k
BNY,3.6,(5.4k),Financial Services,Pune +28 other locations,60,5.4k
Nagarjuna Construction Company,4.0,(5.3k),Engineering & Construction,Hyderabad +300 other locations,17,5.3k
IQVIA,3.7,(5.3k),Clinical Research,Bengaluru +67 other locations,35,5.3k
Schneider Electric,4.1,(5.3k),Industrial Automation,Bengaluru +122 other locations,449,5.3k
SBI Life Insurance Company,3.7,(5.2k),Insurance,Mumbai +662 other locations,10,5.2k
JustDial,3.5,(5.2k),Internet,Noida +238 other locations,33,5.2k
CBRE,4.1,(5.2k),Real Estate,Hyderabad +92 other locations,75,5.2k
TVS Motor,3.8,(5.2k),Automobile,Hosur +355 other locations,131,5.2k
Persistent Systems,3.6,(5.1k),IT Services & Consulting,Pune +42 other locations,474,5.1k
State Bank of India,3.8,(5.1k),Banking,Mumbai +633 other locations,1,5.1k
KEC International,4.0,(5k),Engineering & Construction,Mumbai +319 other locations,19,5k
Atos,3.8,(5k),IT Services & Consulting,Pune +50 other locations,108,5k
ITC Infotech,3.8,(5k),IT Services & Consulting,Bengaluru +69 other locations,98,5k
Amdocs,3.6,(4.9k),Software Product,Pune +24 other locations,3,4.9k
vivo,4.0,(4.9k),Consumer Electronics & Appliances,Noida +415 other locations,14,4.9k
Varun Beverages,4.0,(4.9k),Beverage,New Delhi +383 other locations,57,4.9k
JBM Group,3.9,(4.9k),Auto Components,Gurugram +119 other locations,57,4.9k
Utkarsh Small Finance Bank,3.6,(4.9k),Banking,Varanasi +425 other locations,56,4.9k
Ecom Express,4.1,(4.8k),Logistics,Gurugram +781 other locations,--,4.8k
Nagarro,3.9,(4.8k),IT Services & Consulting,Gurugram +48 other locations,314,4.8k
Eviden,3.6,(4.8k),IT Services & Consulting,Pune +39 other locations,--,4.8k
Randstad,3.7,(4.8k),Recruitment,Hyderabad +370 other locations,287,4.8k
Bosch,4.1,(4.7k),Auto Components,Bengaluru +133 other locations,--,4.7k
EY Global Delivery Services ( EY GDS),3.5,(4.7k),IT Services & Consulting,Bengaluru +57 other locations,12,4.7k
Havells,3.9,(4.7k),Electrical Equipment,Noida +267 other locations,24,4.7k
Intas Pharmaceuticals,4.1,(4.7k),Pharma,Ahmedabad +150 other locations,69,4.7k
L&T Finance,3.9,(4.7k),NBFC,Mumbai +658 other locations,--,4.7k
Hewlett Packard Enterprise,4.0,(4.7k),IT Services & Consulting,Bengaluru +104 other locations,229,4.7k
Aditya Birla Fashion and Retail,4.0,(4.7k),Fashion & Textile,Bengaluru +293 other locations,55,4.7k
R1 RCM,3.8,(4.7k),BPO,Hyderabad +49 other locations,173,4.7k
Cars24,3.4,(4.7k),Internet,Gurugram +172 other locations,91,4.7k
Hetero,3.9,(4.6k),Pharma,Hyderabad +72 other locations,92,4.6k
Tata AIA Life Insurance,3.9,(4.6k),Insurance,Mumbai +455 other locations,853,4.6k
Mahindra Logistics,3.7,(4.6k),Logistics,Mumbai +233 other locations,180,4.6k
Home Credit Finance,4.0,(4.6k),NBFC,Gurugram +139 other locations,96,4.6k
Dell,3.8,(4.6k),Consumer Electronics & Appliances,Bengaluru +117 other locations,21,4.6k
Berger Paints,3.7,(4.6k),Chemicals,Kolkata +372 other locations,165,4.6k
Lenskart,3.3,(4.5k),Internet,New Delhi +255 other locations,231,4.5k
Deutsche Bank,3.8,(4.5k),Banking,Pune +42 other locations,273,4.5k
Motilal Oswal Financial Services,3.7,(4.5k),Financial Services,Mumbai +170 other locations,46,4.5k
OPPO,3.9,(4.5k),Consumer Electronics & Appliances,Greater Noida +412 other locations,7,4.5k
Hyundai Motor India Limited,4.1,(4.5k),Automobile,Chennai +294 other locations,8,4.5k
TeamLease Services,3.9,(4.4k),Recruitment,Bengaluru +407 other locations,--,4.4k
VE Commercial Vehicles,3.9,(4.4k),Automobile,Indore +181 other locations,27,4.4k
Thermax Limited,4.2,(4.3k),Industrial Machinery,Pune +261 other locations,42,4.3k
Jubilant Foods Works,3.7,(4.3k),Hospitality,Noida +271 other locations,340,4.3k
Macleods Pharmaceuticals,3.7,(4.3k),Pharma,Mumbai +139 other locations,28,4.3k
Carelon Global Solutions,3.9,(4.3k),IT Services & Consulting,Bengaluru +20 other locations,109,4.3k
Aakash Educational Services,3.2,(4.3k),Education & Training,New Delhi +251 other locations,124,4.3k
Bajaj Auto,3.8,(4.2k),Automobile,Pune +326 other locations,40,4.2k
Jindal Steel Limited,3.9,(4.2k),Iron & Steel,Angul +176 other locations,80,4.2k
State Street Corporation,3.5,(4.2k),Financial Services,Bengaluru +36 other locations,11,4.2k
Hindalco Industries,4.2,(4.2k),Metals & Mining,Sambalpur +132 other locations,10,4.2k
LG Electronics,3.8,(4.2k),Consumer Electronics & Appliances,Pune +301 other locations,12,4.2k
Kogta Financial India Limited,4.6,(4.2k),NBFC,Jaipur +260 other locations,90,4.2k
HDFC ERGO General Insurance,4.0,(4.1k),Insurance,Mumbai +328 other locations,1,4.1k
DCB Bank,3.8,(4.1k),Banking,Mumbai +348 other locations,6,4.1k
Royal Enfield,4.1,(4.1k),Automobile,Chennai +375 other locations,--,4.1k
John Deere,4.0,(4.1k),Industrial Machinery,Pune +157 other locations,4,4.1k
RBL Bank,3.5,(4.1k),Banking,Mumbai +294 other locations,64,4.1k
Tata Communications,3.8,(4.1k),Telecom,Pune +102 other locations,161,4.1k
Publicis Sapient,3.2,(4.1k),IT Services & Consulting,Bengaluru +47 other locations,209,4.1k
Cummins,4.3,(4.1k),Industrial Machinery,Pune +116 other locations,146,4.1k
Alembic Pharmaceuticals,3.9,(4k),Pharma,Vadodara +188 other locations,51,4k
Bank of America,4.1,(4k),Banking,Gurugram +34 other locations,--,4k
