iter	Accuracy	Logloss
93	0.8653198653	0.3381324158
94	0.8664421998	0.33728048
95	0.8664421998	0.3372284693
96	0.8664421998	0.3367093476
97	0.8664421998	0.3354963624
98	0.8675645342	0.3352840569
99	0.8664421998	0.3344318215
100	0.8664421998	0.3339222303
101	0.8675645342	0.3335852832
102	0.8675645342	0.3329426798
103	0.8675645342	0.3320031618
104	0.8675645342	0.331357835
105	0.8686868687	0.3304057783
106	0.8686868687	0.3303998952
107	0.8686868687	0.3302061543
108	0.8709315376	0.3290966809
109	0.8709315376	0.3290966779
110	0.8698092031	0.3281569235
111	0.8709315376	0.3276169603
112	0.8709315376	0.3269009295
113	0.8720538721	0.3267121421
114	0.8720538721	0.3265236737
115	0.8731762065	0.326095171
116	0.8731762065	0.3258127198
117	0.8731762065	0.3253796659
118	0.8731762065	0.3253761334
119	0.8731762065	0.3252555082
120	0.874298541	0.3245806586
121	0.874298541	0.3244949496
122	0.8754208754	0.3243093557
123	0.874298541	0.3230699285
124	0.8754208754	0.3226026206
125	0.8754208754	0.3222745707
126	0.8765432099	0.3216146676
127	0.8754208754	0.3210260639
128	0.8765432099	0.3204788148
129	0.8765432099	0.3196361088
130	0.8765432099	0.3192136964
131	0.8765432099	0.3187263516
132	0.8776655443	0.3177482896
133	0.8776655443	0.3175140555
134	0.8776655443	0.3172147945
135	0.8776655443	0.3168559779
136	0.8787878788	0.3166439894
137	0.8787878788	0.3159190435
138	0.8787878788	0.3158906274
139	0.8787878788	0.3152311796
140	0.8799102132	0.3143844073
141	0.8810325477	0.3138273907
142	0.8799102132	0.3134782645
143	0.8810325477	0.3131748124
144	0.8832772166	0.3124195777
145	0.8832772166	0.3123896285
146	0.8843995511	0.3113519498
147	0.8843995511	0.3112858677
148	0.8843995511	0.3110949615
149	0.8843995511	0.3110427512
150	0.8843995511	0.3109497381
151	0.8843995511	0.3106002438
152	0.8843995511	0.3101871951
153	0.8843995511	0.310015729
154	0.8855218855	0.3093881852
155	0.8855218855	0.3090876218
156	0.8855218855	0.308977053
157	0.8855218855	0.3078766815
158	0.8855218855	0.3070327959
159	0.8855218855	0.3067039994
160	0.8855218855	0.3064384367
161	0.8855218855	0.3062224526
162	0.88664422	0.3061062972
163	0.88664422	0.3050433455
164	0.8888888889	0.3045541988
165	0.8888888889	0.3040607456
166	0.8888888889	0.3040559078
167	0.8888888889	0.3036730138
168	0.8900112233	0.3034077181
169	0.8900112233	0.3029672456
170	0.8900112233	0.3028382929
171	0.8900112233	0.3027532982
172	0.8900112233	0.3018564636
173	0.8900112233	0.3006477159
174	0.8900112233	0.3004649432
175	0.8900112233	0.2999423186
176	0.8900112233	0.2993950711
177	0.8900112233	0.2992589467
178	0.8900112233	0.2992245259
179	0.8888888889	0.2990534714
180	0.8911335578	0.2984950129
181	0.8911335578	0.2983216639
182	0.8900112233	0.2979835088
183	0.8911335578	0.2971626367
184	0.8922558923	0.2966874638
185	0.8922558923	0.2959972892
186	0.8922558923	0.2957143387
187	0.8922558923	0.2954748737
188	0.8933782267	0.2952084541
189	0.8922558923	0.2951409349
190	0.8922558923	0.2948488107
191	0.8922558923	0.2939533294
192	0.8922558923	0.2938615796
193	0.8933782267	0.2931473342
194	0.8933782267	0.2930094834
195	0.8933782267	0.2921507088
196	0.8933782267	0.2914349178
197	0.8933782267	0.2912864572
198	0.8945005612	0.2908816748
199	0.8945005612	0.2908269016
200	0.8933782267	0.2898330756
201	0.8945005612	0.2896195056
202	0.8945005612	0.28933716
203	0.8945005612	0.2882925951
204	0.8967452301	0.2872503191
205	0.8967452301	0.2871263894
206	0.8967452301	0.2870247776
207	0.8967452301	0.2868912259
208	0.8967452301	0.2858243249
209	0.8967452301	0.2857689512
210	0.8967452301	0.2849141725
211	0.8978675645	0.2843789579
212	0.898989899	0.2838119678
213	0.898989899	0.2837659826
214	0.898989899	0.2836129645
215	0.898989899	0.2833589442
216	0.9001122334	0.2828865117
217	0.9001122334	0.2827406996
218	0.898989899	0.2822461777
219	0.9001122334	0.2815524583
220	0.9012345679	0.2809514334
221	0.9012345679	0.2804963822
222	0.9012345679	0.2796922506
223	0.9012345679	0.2796634275
224	0.9023569024	0.279389492
225	0.9023569024	0.2792264964
226	0.9012345679	0.2789028542
227	0.9023569024	0.2786232911
228	0.9001122334	0.278049036
229	0.9012345679	0.2774716706
230	0.9023569024	0.2774262577
231	0.9023569024	0.2773753374
232	0.9023569024	0.2768362384
233	0.9012345679	0.2758805387
234	0.9012345679	0.27532689
235	0.9012345679	0.2752038155
236	0.9001122334	0.2749056368
237	0.9034792368	0.2743224267
238	0.9057239057	0.2733234638
239	0.9057239057	0.2729918244
240	0.9057239057	0.2724006322
241	0.9057239057	0.2723300882
242	0.9057239057	0.2721074161
243	0.9057239057	0.2715939227
244	0.9057239057	0.2714802918
245	0.9046015713	0.270759191
246	0.9034792368	0.270409221
247	0.9046015713	0.2701885238
248	0.9079685746	0.2695553531
249	0.9090909091	0.2685485693
250	0.9090909091	0.2684943084
251	0.9102132435	0.267527718
252	0.9090909091	0.2671903193
253	0.9090909091	0.2670471672
254	0.9090909091	0.2663683619
255	0.9090909091	0.265693714
256	0.911335578	0.265422704
257	0.911335578	0.2653843739
258	0.9102132435	0.2648050261
259	0.9102132435	0.2645407898
260	0.9090909091	0.2643712344
261	0.911335578	0.2640795946
262	0.911335578	0.263962667
263	0.911335578	0.2636064408
264	0.9124579125	0.2620314855
265	0.911335578	0.2617628816
266	0.9124579125	0.2616328608
267	0.9135802469	0.2614156675
268	0.9135802469	0.261376937
269	0.9147025814	0.26089849
270	0.9147025814	0.2605899605
271	0.9169472503	0.2602663263
272	0.9169472503	0.2601265319
273	0.9169472503	0.2596812751
274	0.9169472503	0.2595255028
275	0.9169472503	0.2594029729
276	0.9147025814	0.2586670936
277	0.9158249158	0.2579570192
278	0.9169472503	0.2575739647
279	0.9147025814	0.2573816208
280	0.9147025814	0.2572720735
281	0.9147025814	0.256537461
282	0.9169472503	0.2561845098
283	0.9158249158	0.2559950166
284	0.9158249158	0.2556870044
285	0.9169472503	0.2549780859
286	0.9169472503	0.2548401041
287	0.9169472503	0.2544162484
288	0.9180695847	0.253968804
289	0.9169472503	0.2534132115
290	0.9169472503	0.2532313717
291	0.9180695847	0.25306337
292	0.9191919192	0.2526249439
293	0.9203142536	0.2522421986
294	0.9214365881	0.2519234255
295	0.9214365881	0.2517995955
296	0.9203142536	0.2514146625
297	0.9203142536	0.2511298757
298	0.9203142536	0.2508287999
299	0.9214365881	0.2501356428
300	0.9214365881	0.2499031368
301	0.9214365881	0.2496581521
302	0.9214365881	0.2493481653
303	0.9225589226	0.2489133916
304	0.923681257	0.2484171298
305	0.923681257	0.2483537897
306	0.923681257	0.2481304534
307	0.9248035915	0.2475745578
308	0.9248035915	0.2471458265
309	0.9248035915	0.2464540361
310	0.9248035915	0.2459158235
311	0.9248035915	0.2454966215
312	0.923681257	0.2450558545
313	0.923681257	0.2445836137
314	0.923681257	0.2441296558
315	0.9248035915	0.2438358252
316	0.9259259259	0.2432176775
317	0.9259259259	0.2426221722
318	0.9259259259	0.2423859346
319	0.9259259259	0.2423344544
320	0.9259259259	0.2420901923
321	0.9270482604	0.2419265989
322	0.9270482604	0.2414213738
323	0.9270482604	0.2412692844
324	0.9270482604	0.2407801361
325	0.9281705948	0.2402643908
326	0.9281705948	0.2395832466
327	0.9281705948	0.2391973101
328	0.9281705948	0.2390203372
329	0.9281705948	0.2389746399
330	0.9292929293	0.2388709783
331	0.9292929293	0.2387514917
332	0.9292929293	0.2384996236
333	0.9292929293	0.238236462
334	0.9304152637	0.2379863497
335	0.9304152637	0.2377670679
336	0.9292929293	0.2373709703
337	0.9292929293	0.2372929893
338	0.9292929293	0.2370238156
339	0.9292929293	0.2369049085
340	0.9292929293	0.2366866323
341	0.9292929293	0.236526809
342	0.9292929293	0.2363530043
343	0.9292929293	0.236171967
344	0.9292929293	0.2359787971
345	0.9304152637	0.2357186816
346	0.9304152637	0.2356693245
347	0.9304152637	0.2355489084
348	0.9304152637	0.235345011
349	0.9326599327	0.2349541333
350	0.9326599327	0.2345193536
351	0.9326599327	0.234152197
352	0.9326599327	0.2339177973
353	0.9326599327	0.2338812134
354	0.9326599327	0.2334740962
355	0.9304152637	0.2330502355
356	0.9315375982	0.2327352103
357	0.9326599327	0.2320645104
358	0.9326599327	0.231780773
359	0.9326599327	0.2316043724
360	0.9337822671	0.2311763094
361	0.9337822671	0.2311222677
362	0.9337822671	0.2310900861
363	0.9349046016	0.2298598994
364	0.936026936	0.2295729045
365	0.936026936	0.2289234747
366	0.936026936	0.2285682686
367	0.936026936	0.2284904287
368	0.936026936	0.2281741081
369	0.936026936	0.2281274288
370	0.9349046016	0.227933306
371	0.936026936	0.2275317302
372	0.9349046016	0.2274946245
373	0.936026936	0.2271628769
374	0.936026936	0.226898407
375	0.936026936	0.2268366592
376	0.9371492705	0.2264430488
377	0.9371492705	0.2261740453
378	0.9371492705	0.2260022189
379	0.9371492705	0.2258092973
380	0.9371492705	0.2256677123
381	0.9371492705	0.2254212262
382	0.9371492705	0.2251473518
383	0.9371492705	0.2250534531
384	0.9371492705	0.2244895553
385	0.9371492705	0.2242637851
386	0.9371492705	0.2241598728
387	0.9371492705	0.2239172911
388	0.9371492705	0.2238811595
389	0.9371492705	0.2236541432
390	0.9371492705	0.2234032716
391	0.9371492705	0.2229621295
392	0.9371492705	0.2227840412
393	0.9371492705	0.2226127326
394	0.9371492705	0.222427531
395	0.9371492705	0.2223591689
396	0.9371492705	0.2222905421
397	0.9382716049	0.2217510671
398	0.9382716049	0.2216446623
399	0.9382716049	0.2214639725
400	0.9382716049	0.2207926332
401	0.9371492705	0.2195207619
402	0.9371492705	0.2194032238
403	0.9371492705	0.2189430232
404	0.9371492705	0.2185674429
405	0.9371492705	0.2180735879
406	0.9371492705	0.2178618056
407	0.9382716049	0.2170795605
408	0.9382716049	0.2170668885
409	0.9382716049	0.2167158222
410	0.9382716049	0.2164525387
411	0.9382716049	0.2161050924
412	0.9382716049	0.215736064
413	0.9382716049	0.2151720177
414	0.9382716049	0.2150169839
415	0.9382716049	0.2147374972
416	0.9382716049	0.214583388
417	0.9382716049	0.2143636685
418	0.9382716049	0.213815375
419	0.9382716049	0.213650219
420	0.9382716049	0.2133013026
421	0.9382716049	0.213054342
422	0.9382716049	0.2129654986
423	0.9382716049	0.2129334981
424	0.9382716049	0.212201433
425	0.9382716049	0.212069651
426	0.9382716049	0.2119904674
427	0.9382716049	0.21167166
428	0.9382716049	0.2110392319
429	0.9382716049	0.2107227252
430	0.9382716049	0.2106368984
431	0.9382716049	0.2103938944
432	0.9393939394	0.2097369577
433	0.9393939394	0.2094269147
434	0.9393939394	0.2092894614
435	0.9382716049	0.2091615337
436	0.9382716049	0.2090174706
437	0.9382716049	0.2089876156
438	0.9393939394	0.208794745
439	0.9393939394	0.2082270012
440	0.9393939394	0.2077976324
441	0.9393939394	0.2077071478
442	0.9393939394	0.2074606388
443	0.9393939394	0.2073885724
444	0.9393939394	0.2072036086
445	0.9393939394	0.2069870549
446	0.9393939394	0.2066812122
447	0.9393939394	0.206477307
448	0.9393939394	0.2064343133
449	0.9393939394	0.2063813695
450	0.9393939394	0.2063069877
451	0.9393939394	0.2059171276
452	0.9393939394	0.2057863491
453	0.9393939394	0.2054706995
454	0.9393939394	0.2049747751
455	0.9393939394	0.2047343634
456	0.9393939394	0.2045292462
457	0.9393939394	0.2041622247
458	0.9393939394	0.2041229357
459	0.9393939394	0.2038861529
460	0.9393939394	0.2038265004
461	0.9393939394	0.2037932149
462	0.9393939394	0.2036438544
463	0.9393939394	0.2034821424
464	0.9393939394	0.2029587775
465	0.9393939394	0.2026739283
466	0.9405162738	0.202507084
467	0.9393939394	0.2023413182
468	0.9393939394	0.202201797
469	0.9405162738	0.2020853479
470	0.9405162738	0.2020385098
471	0.9405162738	0.2014599614
472	0.9405162738	0.2009449746
473	0.9416386083	0.2007310472
474	0.9427609428	0.1997878319
475	0.9427609428	0.1997525002
476	0.9438832772	0.1993859338
477	0.9438832772	0.1988641759
478	0.9438832772	0.1985590538
479	0.9438832772	0.198269762
480	0.9438832772	0.1980718254
481	0.9438832772	0.1977910211
482	0.9438832772	0.1976127727
483	0.9438832772	0.1975128587
484	0.9438832772	0.1970592537
485	0.9438832772	0.1968767326
486	0.9438832772	0.1966263754
487	0.9438832772	0.1961150513
488	0.9450056117	0.1955785652
489	0.9450056117	0.1952533168
490	0.9450056117	0.1951067275
491	0.9450056117	0.1949971776
492	0.9450056117	0.1949119573
493	0.9450056117	0.1948258828
494	0.9450056117	0.1945141119
495	0.9450056117	0.194329356
496	0.9450056117	0.1941600749
497	0.9450056117	0.1940716042
498	0.9450056117	0.1938228435
499	0.9472502806	0.1934493649
500	0.9472502806	0.1933377318
501	0.9461279461	0.193188028
502	0.9472502806	0.1929604101
503	0.9472502806	0.1928330052
504	0.9472502806	0.1927509165
505	0.9472502806	0.1926342075
506	0.9472502806	0.1922364608
507	0.9472502806	0.1919720899
508	0.9472502806	0.1919507219
509	0.9472502806	0.1919003355
510	0.948372615	0.1914169062
511	0.948372615	0.1913503891
512	0.948372615	0.1910927079
513	0.948372615	0.190922572
514	0.948372615	0.1906775061
515	0.948372615	0.1905368667
516	0.9472502806	0.1903018317
517	0.9472502806	0.1900258509
518	0.9472502806	0.1899978735
519	0.948372615	0.189943173
520	0.948372615	0.1897624816
521	0.948372615	0.1894515579
522	0.948372615	0.1893625453
523	0.948372615	0.1893148075
524	0.948372615	0.1891393808
525	0.948372615	0.1887993334
526	0.948372615	0.1885627704
527	0.948372615	0.1884319447
528	0.948372615	0.1881761387
529	0.948372615	0.1877625311
530	0.948372615	0.1875862656
531	0.948372615	0.1874950841
532	0.948372615	0.1872399762
533	0.948372615	0.1869374154
534	0.948372615	0.1867464218
535	0.9472502806	0.1864650325
536	0.9472502806	0.1862471355
537	0.9472502806	0.1862253141
538	0.948372615	0.1859700238
539	0.9494949495	0.185680835
540	0.948372615	0.1852566994
541	0.948372615	0.1850859655
542	0.948372615	0.1850609007
543	0.948372615	0.1849438959
544	0.9472502806	0.1848209397
545	0.9472502806	0.1846724787
546	0.9472502806	0.1844847535
547	0.948372615	0.1841188425
548	0.948372615	0.183831695
549	0.9494949495	0.1835934139
550	0.9494949495	0.1833359742
551	0.9494949495	0.1831441589
552	0.9494949495	0.1830929772
553	0.9494949495	0.1827188718
554	0.9494949495	0.1826146157
555	0.9494949495	0.1825926726
556	0.9494949495	0.1825639627
557	0.9494949495	0.1824900957
558	0.950617284	0.1822205502
559	0.950617284	0.1821544107
560	0.9517396184	0.1819886845
561	0.9517396184	0.1815548461
562	0.9517396184	0.1815033545
563	0.9517396184	0.1814907812
564	0.9517396184	0.1813847315
565	0.9517396184	0.1810806171
566	0.9517396184	0.1806842516
567	0.9517396184	0.180610337
568	0.9517396184	0.180378035
569	0.9517396184	0.1802684332
570	0.9517396184	0.179998417
571	0.9517396184	0.1799126058
572	0.9517396184	0.1797088665
573	0.9517396184	0.1794494324
574	0.9517396184	0.1792777183
575	0.9517396184	0.1792465326
576	0.9517396184	0.1792300325
577	0.9517396184	0.1792237918
578	0.9517396184	0.1789637941
579	0.9517396184	0.1786600541
580	0.9517396184	0.1786064709
581	0.9517396184	0.1781385883
582	0.9517396184	0.1780495694
583	0.9517396184	0.1778235098
584	0.9517396184	0.1773842076
585	0.9517396184	0.1770094177
586	0.950617284	0.1768756373
587	0.950617284	0.1765769946
588	0.950617284	0.1764435998
589	0.950617284	0.1760391623
590	0.950617284	0.1757565804
591	0.950617284	0.1757170519
592	0.950617284	0.1756055029
593	0.950617284	0.175519497
594	0.9517396184	0.1750967021
595	0.950617284	0.1746764003
596	0.950617284	0.1744731228
597	0.950617284	0.1741812488
598	0.950617284	0.1740542532
599	0.9517396184	0.1738816388
600	0.9517396184	0.1737672212
601	0.9517396184	0.1733952753
602	0.9517396184	0.1732703471
603	0.9517396184	0.1729028193
604	0.9517396184	0.1726548875
605	0.9517396184	0.1725319793
606	0.9517396184	0.1724839561
607	0.9517396184	0.1722256483
608	0.9517396184	0.1717764944
609	0.9517396184	0.1716960702
610	0.9517396184	0.1713352557
611	0.9517396184	0.1712486303
612	0.9517396184	0.1711662271
613	0.9517396184	0.1709933469
614	0.9517396184	0.1706588947
615	0.9517396184	0.1705740351
616	0.9517396184	0.1703849169
617	0.9517396184	0.1703435203
618	0.9517396184	0.170042574
619	0.9517396184	0.1699267549
620	0.9517396184	0.1697623606
621	0.9517396184	0.1694390953
622	0.9517396184	0.1693050446
623	0.9517396184	0.1691980147
624	0.9517396184	0.1691020016
625	0.9517396184	0.1689189597
626	0.9517396184	0.1688687094
627	0.9528619529	0.1685721661
628	0.9528619529	0.1684900638
629	0.9528619529	0.1684214611
630	0.9539842873	0.1681719604
631	0.9539842873	0.1681049236
632	0.9539842873	0.1679981896
633	0.9551066218	0.1673836922
634	0.9539842873	0.1672196408
635	0.9551066218	0.1669501658
636	0.9551066218	0.1664265327
637	0.9551066218	0.1662256218
638	0.9551066218	0.1661529032
639	0.9551066218	0.1660900962
640	0.9551066218	0.1659550926
641	0.9551066218	0.1658934193
642	0.9551066218	0.1657665448
643	0.9551066218	0.1655668073
644	0.9551066218	0.1653838723
645	0.9551066218	0.165311543
646	0.9551066218	0.1652175555
647	0.9551066218	0.1650743334
648	0.9551066218	0.1648977786
649	0.9551066218	0.1647754079
650	0.9551066218	0.1646453464
651	0.9551066218	0.164469968
652	0.9551066218	0.1643361088
653	0.9551066218	0.1642751232
654	0.9551066218	0.163992687
655	0.9551066218	0.1638854911
656	0.9551066218	0.1637671673
657	0.9551066218	0.1637261341
658	0.9562289562	0.1635596794
659	0.9562289562	0.1633545348
660	0.9562289562	0.1630653573
661	0.9562289562	0.162788795
662	0.9562289562	0.1624959011
663	0.9562289562	0.1622065388
664	0.9562289562	0.1621154429
665	0.9562289562	0.1619680102
666	0.9562289562	0.161881446
667	0.9573512907	0.16162157
668	0.9573512907	0.1615118683
669	0.9573512907	0.1613912662
670	0.9573512907	0.161295985
671	0.9573512907	0.1611654771
672	0.9573512907	0.1607703641
673	0.9584736251	0.160680963
674	0.9573512907	0.1604852657
675	0.9573512907	0.1603440376
676	0.9573512907	0.1602403118
677	0.9573512907	0.1599747264
678	0.9573512907	0.1599653907
679	0.9584736251	0.1597370979
680	0.9573512907	0.1595626474
681	0.9573512907	0.1593680236
682	0.9584736251	0.1592652256
683	0.9573512907	0.158992954
684	0.9573512907	0.1588706665
685	0.9573512907	0.1587049903
686	0.9573512907	0.1584918311
687	0.9584736251	0.1582521747
688	0.9584736251	0.1580266906
689	0.9584736251	0.1579663293
690	0.9584736251	0.1577448632
691	0.9584736251	0.157659235
692	0.9584736251	0.1573871183
693	0.9584736251	0.1569070419
694	0.9584736251	0.1568102585
695	0.9584736251	0.1566916672
696	0.9584736251	0.1565694705
697	0.9584736251	0.1565629469
698	0.9584736251	0.1565265433
699	0.9584736251	0.1558925572
700	0.9584736251	0.1558472242
701	0.9584736251	0.1555943959
702	0.9584736251	0.1555704018
703	0.9584736251	0.1555577489
704	0.9584736251	0.1554470678
705	0.9595959596	0.1552109008
706	0.9595959596	0.1551957247
707	0.9595959596	0.1550964546
708	0.9595959596	0.1549542841
709	0.9595959596	0.1547404194
710	0.9595959596	0.1546129268
711	0.9595959596	0.1544778673
712	0.9595959596	0.1543706979
713	0.9595959596	0.1541548793
714	0.9595959596	0.1541282669
715	0.9595959596	0.1540876108
716	0.9595959596	0.1537050348
717	0.9595959596	0.1535811486
718	0.9595959596	0.1532904422
719	0.9595959596	0.1532516424
720	0.9595959596	0.1529228897
721	0.9595959596	0.1527183547
722	0.9595959596	0.1522690266
723	0.9595959596	0.1520936147
724	0.9595959596	0.1520663357
725	0.9595959596	0.151740753
726	0.9595959596	0.1516620775
727	0.9595959596	0.1515533849
728	0.9595959596	0.1514568119
729	0.9595959596	0.1514084966
730	0.9595959596	0.1512960035
731	0.9595959596	0.1511685352
732	0.9595959596	0.1510778548
733	0.9595959596	0.1509819206
734	0.9595959596	0.1508145525
735	0.9595959596	0.1507507985
736	0.9595959596	0.1504916949
737	0.9595959596	0.1503915702
738	0.9595959596	0.1503801112
739	0.9595959596	0.150284029
740	0.9595959596	0.1501652452
741	0.9595959596	0.1501544262
742	0.9595959596	0.14988614
743	0.9595959596	0.1497847446
744	0.9595959596	0.1496579539
745	0.9595959596	0.1495138545
746	0.9595959596	0.1493589432
747	0.9595959596	0.148768723
748	0.9595959596	0.1486499875
749	0.9595959596	0.1485576699
750	0.9607182941	0.148224786
751	0.9607182941	0.1481029987
752	0.9607182941	0.1480887074
753	0.9607182941	0.1480830177
754	0.9607182941	0.1478849654
755	0.9607182941	0.1477310412
756	0.9607182941	0.1476798219
757	0.9607182941	0.1475811016
758	0.9607182941	0.1474012951
759	0.9607182941	0.1473553897
760	0.9607182941	0.1471243848
761	0.9607182941	0.1469531457
762	0.9607182941	0.1469390791
763	0.9607182941	0.1467931404
764	0.9607182941	0.1467794371
765	0.9607182941	0.1467032853
766	0.9607182941	0.1465931617
767	0.9607182941	0.146519396
768	0.9618406285	0.146395176
769	0.9618406285	0.1463884354
770	0.9607182941	0.1463528842
771	0.9618406285	0.1462244771
772	0.9607182941	0.1460614402
773	0.9618406285	0.145932509
774	0.9618406285	0.1459243912
775	0.9618406285	0.1458039211
776	0.9618406285	0.1457061349
777	0.9618406285	0.145468932
778	0.9607182941	0.1453732962
779	0.9607182941	0.1452663817
780	0.9607182941	0.1451128281
781	0.9607182941	0.145104598
782	0.9618406285	0.1449006393
783	0.9618406285	0.1448484851
784	0.9618406285	0.1448423734
785	0.9618406285	0.1447517652
786	0.9618406285	0.1446732095
787	0.9618406285	0.144639103
788	0.9618406285	0.1445261595
789	0.9618406285	0.1444511707
790	0.9618406285	0.1443979788
791	0.9618406285	0.1443590504
792	0.9618406285	0.1443146016
793	0.9618406285	0.1442019926
794	0.9618406285	0.1441972345
795	0.9618406285	0.1441607913
796	0.9618406285	0.1439982243
797	0.9618406285	0.1439739312
798	0.9618406285	0.1435727867
799	0.9618406285	0.1435437199
800	0.9618406285	0.1434256938
801	0.962962963	0.1430143357
802	0.962962963	0.1429696495
803	0.962962963	0.1427680773
804	0.962962963	0.1424225377
805	0.962962963	0.1421861095
806	0.962962963	0.142064531
807	0.962962963	0.1418950673
808	0.962962963	0.1417971
809	0.962962963	0.1416388721
810	0.962962963	0.1415308646
811	0.962962963	0.1413892726
812	0.9640852974	0.1412967427
813	0.962962963	0.141231406
814	0.962962963	0.1411021432
815	0.962962963	0.1410485527
816	0.962962963	0.1409554227
817	0.9652076319	0.1408296757
818	0.9652076319	0.14068331
819	0.9652076319	0.1406428626
820	0.9640852974	0.1405363843
821	0.9640852974	0.1403782061
822	0.962962963	0.1402058995
823	0.962962963	0.1400462876
824	0.962962963	0.1399965295
825	0.962962963	0.1399067664
826	0.962962963	0.1398118372
827	0.962962963	0.1396449358
828	0.9640852974	0.1394305258
829	0.9640852974	0.1393794713
830	0.9640852974	0.1393163289
831	0.9640852974	0.1392103959
832	0.9640852974	0.1391317606
833	0.9640852974	0.1390140317
834	0.9640852974	0.138688729
835	0.9640852974	0.1385940973
836	0.9640852974	0.1383058842
837	0.9640852974	0.1379890961
838	0.9640852974	0.137457473
839	0.9640852974	0.1373942173
840	0.9640852974	0.1373606904
841	0.9652076319	0.1373376848
842	0.9652076319	0.1372000039
843	0.9652076319	0.1370969636
844	0.9652076319	0.1369990951
845	0.9640852974	0.1367131595
846	0.9640852974	0.1366843736
847	0.9640852974	0.1365464344
848	0.9640852974	0.1365425665
849	0.9640852974	0.1364744465
850	0.9640852974	0.1361917863
851	0.9640852974	0.1358729097
852	0.9640852974	0.1358634021
853	0.9640852974	0.1357091074
854	0.9640852974	0.1355054368
855	0.9640852974	0.1353518431
856	0.9640852974	0.1353443637
857	0.9640852974	0.1353411267
858	0.9640852974	0.1352825932
859	0.9640852974	0.1352750598
860	0.9640852974	0.1352735052
861	0.9640852974	0.1350003665
862	0.9640852974	0.134974829
863	0.9640852974	0.1346948424
864	0.9640852974	0.1345712579
865	0.9640852974	0.1345620446
866	0.9640852974	0.1344328442
867	0.9640852974	0.1342871133
868	0.9640852974	0.134210588
869	0.9640852974	0.1340084887
870	0.9640852974	0.1339712734
871	0.9640852974	0.1338906336
872	0.9640852974	0.1338249093
873	0.9640852974	0.1337215289
874	0.9652076319	0.1336223031
875	0.9652076319	0.1335873097
876	0.9652076319	0.1335604309
877	0.9652076319	0.1333528447
878	0.9652076319	0.1332525769
879	0.9652076319	0.13311449
880	0.9652076319	0.1329851886
881	0.9652076319	0.1328896312
882	0.9652076319	0.1327315563
883	0.9652076319	0.1326631411
884	0.9652076319	0.1326366163
